City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,rain.3h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,snow.3h,snow.1h
21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1581138051,7200,3369157,Cape Town,200,18.42,-33.93,63.91,62.67,60.01,69.01,1012,82,6.93,260.0,,0,1.0,1899.0,ZA,1581135254,1581184007,,,,,,
22,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,2800.0,1581138296,12600,123941,Minab,200,57.08,27.15,62.6,60.91,62.6,62.6,1010,82,6.93,330.0,,0,1.0,7477.0,IR,1581130441,1581170262,,,,,,
23,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581138296,-10800,3833367,Ushuaia,200,-68.3,-54.8,43.0,39.51,43.0,43.0,1023,88,2.15,273.0,,85,,,AR,1581153057,1581207831,1023.0,974.0,,,,
24,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1581138296,0,2264557,Ponta do Sol,200,-17.1,32.67,58.3,56.05,55.0,60.8,1028,77,4.7,290.0,,20,1.0,6894.0,PT,1581148706,1581187605,,,,,,
25,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,,1581138296,43200,2110227,Butaritari,200,172.79,3.07,84.0,83.55,84.0,84.0,1006,77,20.24,56.0,1.0,96,,,KI,1581100975,1581144185,1006.0,1006.0,,,,
26,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,4023.0,1581138019,-18000,5122534,Jamestown,200,-79.24,42.1,21.65,11.46,19.4,25.0,1009,92,9.17,300.0,,90,1.0,4588.0,US,1581164568,1581201572,,,,,,
27,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,16093.0,1581138270,-36000,5848280,Kapaa,200,-159.32,22.08,66.18,60.53,64.99,68.0,1010,72,13.87,150.0,,20,1.0,7873.0,US,1581095595,1581136177,,,,0.51,,
28,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,,1581138297,10800,159134,Inyonga,200,32.07,-6.72,68.92,72.77,68.92,68.92,1017,92,3.74,86.0,0.69,84,,,TZ,1581134106,1581178602,1017.0,888.0,,,,
29,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581138297,10800,546105,Nikolskoye,200,30.79,59.7,26.51,20.53,26.01,27.0,1016,86,2.24,,,90,1.0,8926.0,RU,1581141246,1581172077,,,,,,
30,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,,1581138297,18000,1282256,Hithadhoo,200,73.08,-0.6,82.33,85.87,82.33,82.33,1013,77,11.45,7.0,,56,,,MV,1581124666,1581168357,1013.0,1013.0,,,,
31,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,,1581138297,18000,1168312,Pasni,200,63.47,25.26,73.71,69.28,73.71,73.71,1022,31,4.32,102.0,,0,,,PK,1581128758,1581168878,1022.0,1012.0,,,,
