City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.3h,snow.3h,rain.1h,snow.1h
93,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,16093.0,1581187626,-18000,5117949,Freeport,200,-73.58,40.66,39.36,25.09,37.0,42.01,1022,41,16.11,290.0,40,1.0,4686.0,US,1581163047,1581200375,,,23.04,,,,
94,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,16093.0,1581187486,-18000,4944903,Nantucket,200,-70.1,41.28,36.95,22.62,35.01,39.0,1020,44,16.11,260.0,1,1.0,3218.0,US,1581162282,1581199470,,,27.51,,,,
95,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}, {'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50n'}]",stations,10000.0,1581187626,18000,562070,Gamovo,200,56.11,57.87,-4.0,-13.11,-4.0,-4.0,1012,83,4.47,290.0,55,1.0,8984.0,RU,1581134713,1581166456,,,,,,,
96,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,,1581187626,46800,2181625,Te Anau,200,167.72,-45.42,40.55,36.48,40.55,40.55,1023,79,1.59,7.0,0,,,NZ,1581184510,1581235891,1023.0,969.0,,,,,
97,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581187626,43200,2122090,Pevek,200,170.31,69.7,-27.87,-35.54,-27.87,-27.87,1035,100,1.23,161.0,98,,,RU,1581198276,1581220882,1035.0,1033.0,,,,,
98,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1581187626,10800,103630,Najran,200,44.13,17.49,84.2,80.17,84.2,84.2,1020,25,4.9,294.0,12,1.0,7421.0,SA,1581132821,1581174098,,,,,,,
99,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581187627,25200,1490256,Talnakh,200,88.4,69.49,-14.8,-27.94,-14.8,-14.8,999,83,11.18,180.0,100,1.0,8951.0,RU,1581217726,1581240750,,,,,,,
100,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1581187333,0,2643044,Margate,200,1.39,51.38,44.46,33.87,42.01,46.4,1016,75,13.87,200.0,50,1.0,1419.0,GB,1581146526,1581180909,,,,,,,
101,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,10000.0,1581187351,-36000,4033557,Tautira,200,-149.15,-17.73,80.28,84.63,80.01,80.6,1014,74,6.93,80.0,75,1.0,7318.0,PF,1581176849,1581222848,,,,,,,
102,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581187627,7200,3041732,Mariehamn,200,19.93,60.1,37.4,27.64,37.4,37.4,1013,86,11.41,220.0,90,1.0,1347.0,AX,1581143958,1581174578,,,,,,,
